LECROYWS454,14016,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,30-Jan-2026 04:09:30,0                 
Time,Ampl
-0.25000029,0.0014375
-0.24999929,0.006125
-0.24999829,0.0045625
-0.24999729,0.006125
-0.24999629,0.0076875
-0.24999529,0.0076875
-0.24999429,0.0014375
-0.24999329,-0.0016875
-0.24999229,-0.0079375
-0.24999129,0.006125
-0.24999029,0.003
-0.24998929,0.003
-0.24998829,0.00925
-0.24998729,0.003
-0.24998629,-0.000125
-0.24998529,0.006125
-0.24998429,0.003
-0.24998329,-0.0016875
-0.24998229,0.0014375
-0.24998129,-0.000125
-0.24998029,-0.000125
-0.24997929,0.0045625
-0.24997829,0.003
-0.24997729,0.003
-0.24997629,-0.000125
-0.24997529,0.0045625
-0.24997429,0.0045625
-0.24997329,0.003
-0.24997229,0.003
-0.24997129,0.0045625
-0.24997029,0.0014375
-0.24996929,0.006125
-0.24996829,0.0045625
-0.24996729,0.003
-0.24996629,-0.0048125
-0.24996529,0.006125
-0.24996429,0.003
-0.24996329,0.003
-0.24996229,0.003
-0.24996129,0.003
-0.24996029,0.003
-0.24995929,0.00925
-0.24995829,0.0076875
-0.24995729,0.0045625
-0.24995629,0.0045625
-0.24995529,0.0045625
-0.24995429,0.0045625
-0.24995329,0.0076875
-0.24995229,0.006125
-0.24995129,-0.0016875
-0.24995029,0.0045625
-0.24994929,0.0045625
-0.24994829,0.006125
-0.24994729,-0.000125
-0.24994629,0.006125
-0.24994529,0.018625
-0.24994429,0.006125
-0.24994329,0.0014375
-0.24994229,0.0076875
-0.24994129,0.0045625
-0.24994029,0.0076875
-0.24993929,0.0045625
-0.24993829,0.003
-0.24993729,-0.000125
-0.24993629,0.006125
-0.24993529,0.0045625
-0.24993429,0.006125
-0.24993329,0.003
-0.24993229,0.0045625
-0.24993129,0.0045625
-0.24993029,-0.0016875
-0.24992929,0.0014375
-0.24992829,0.006125
-0.24992729,0.0045625
-0.24992629,0.006125
-0.24992529,0.0045625
-0.24992429,-0.000125
-0.24992329,0.0045625
-0.24992229,0.0014375
-0.24992129,-0.00325
-0.24992029,-0.000125
-0.24991929,0.003
-0.24991829,0.006125
-0.24991729,0.003
-0.24991629,0.0076875
-0.24991529,0.0076875
-0.24991429,0.006125
-0.24991329,0.0045625
-0.24991229,0.0014375
-0.24991129,0.0014375
-0.24991029,-0.00325
-0.24990929,0.0045625
-0.24990829,0.00925
-0.24990729,0.003
-0.24990629,0.0045625
-0.24990529,0.00925
-0.24990429,0.006125
-0.24990329,-0.000125
-0.24990229,0.0014375
-0.24990129,0.003
-0.24990029,0.003
-0.24989929,0.006125
-0.24989829,0.0076875
-0.24989729,0.0014375
-0.24989629,0.0045625
-0.24989529,-0.000125
-0.24989429,0.0014375
-0.24989329,0.0045625
-0.24989229,0.006125
-0.24989129,0.0045625
-0.24989029,0.0045625
-0.24988929,0.003
-0.24988829,0.0045625
-0.24988729,-0.000125
-0.24988629,0.0014375
-0.24988529,0.0014375
-0.24988429,0.0045625
-0.24988329,0.006125
-0.24988229,0.0045625
-0.24988129,0.0045625
-0.24988029,0.0014375
-0.24987929,0.006125
-0.24987829,0.0045625
-0.24987729,0.0045625
-0.24987629,0.006125
-0.24987529,0.006125
-0.24987429,0.0045625
-0.24987329,0.003
-0.24987229,0.0014375
-0.24987129,-0.0016875
-0.24987029,-0.00325
-0.24986929,-0.00325
-0.24986829,0.0014375
-0.24986729,0.00925
-0.24986629,-0.0095
-0.24986529,-0.000125
-0.24986429,0.006125
-0.24986329,-0.000125
-0.24986229,-0.000125
-0.24986129,-0.000125
-0.24986029,-0.000125
-0.24985929,0.0045625
-0.24985829,0.006125
-0.24985729,-0.000125
-0.24985629,0.0076875
-0.24985529,0.0076875
-0.24985429,0.0014375
-0.24985329,0.0076875
-0.24985229,0.0108125
-0.24985129,0.003
-0.24985029,0.006125
-0.24984929,0.0045625
-0.24984829,0.0014375
-0.24984729,-0.000125
-0.24984629,-0.0048125
-0.24984529,0.003
-0.24984429,0.006125
-0.24984329,0.006125
-0.24984229,0.0045625
-0.24984129,0.00925
-0.24984029,0.0045625
-0.24983929,0.0076875
-0.24983829,-0.0016875
-0.24983729,-0.0016875
-0.24983629,-0.000125
-0.24983529,0.00925
-0.24983429,0.0014375
-0.24983329,0.003
-0.24983229,0.0045625
-0.24983129,0.006125
-0.24983029,0.0014375
-0.24982929,0.006125
-0.24982829,-0.000125
-0.24982729,0.006125
-0.24982629,-0.000125
-0.24982529,0.0045625
-0.24982429,0.003
-0.24982329,0.006125
-0.24982229,-0.006375
-0.24982129,-0.0016875
-0.24982029,0.0014375
-0.24981929,0.006125
-0.24981829,0.0045625
-0.24981729,0.012375
