LECROYWS454,14016,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,30-Jan-2026 04:14:50,0                 
Time,Ampl
-0.250000856,-0.025125
-0.249999856,-0.0048125
-0.249998856,0.0045625
-0.249997856,0.0045625
-0.249996856,0.006125
-0.249995856,0.003
-0.249994856,0.0014375
-0.249993856,0.006125
-0.249992856,0.0045625
-0.249991856,0.0014375
-0.249990856,0.006125
-0.249989856,0.0014375
-0.249988856,0.003
-0.249987856,0.0045625
-0.249986856,0.0045625
-0.249985856,-0.000125
-0.249984856,0.0045625
-0.249983856,0.006125
-0.249982856,0.0076875
-0.249981856,0.003
-0.249980856,0.003
-0.249979856,0.0014375
-0.249978856,0.0045625
-0.249977856,0.0014375
-0.249976856,-0.0048125
-0.249975856,0.003
-0.249974856,0.003
-0.249973856,-0.000125
-0.249972856,-0.0016875
-0.249971856,0.0045625
-0.249970856,0.0045625
-0.249969856,0.0045625
-0.249968856,0.003
-0.249967856,0.0014375
-0.249966856,0.003
-0.249965856,0.0014375
-0.249964856,0.003
-0.249963856,-0.0016875
-0.249962856,0.0045625
-0.249961856,0.003
-0.249960856,0.006125
-0.249959856,0.003
-0.249958856,-0.0016875
-0.249957856,0.006125
-0.249956856,0.00925
-0.249955856,0.0014375
-0.249954856,0.0076875
-0.249953856,-0.0016875
-0.249952856,0.003
-0.249951856,0.0045625
-0.249950856,-0.00325
-0.249949856,-0.0016875
-0.249948856,-0.00325
-0.249947856,-0.0016875
-0.249946856,0.00925
-0.249945856,0.00925
-0.249944856,0.0045625
-0.249943856,0.003
-0.249942856,0.003
-0.249941856,0.0014375
-0.249940856,0.003
-0.249939856,-0.0016875
-0.249938856,0.0045625
-0.249937856,-0.0016875
-0.249936856,0.0045625
-0.249935856,0.003
-0.249934856,0.0045625
-0.249933856,-0.000125
-0.249932856,0.003
-0.249931856,-0.00325
-0.249930856,0.0014375
-0.249929856,0.0045625
-0.249928856,0.003
-0.249927856,-0.00325
-0.249926856,0.0045625
-0.249925856,0.006125
-0.249924856,-0.0016875
-0.249923856,-0.00325
-0.249922856,0.006125
-0.249921856,-0.000125
-0.249920856,0.0014375
-0.249919856,0.0076875
-0.249918856,0.003
-0.249917856,-0.0016875
-0.249916856,0.003
-0.249915856,0.006125
-0.249914856,0.0045625
-0.249913856,0.0045625
-0.249912856,-0.000125
-0.249911856,-0.00325
-0.249910856,-0.0079375
-0.249909856,0.0014375
-0.249908856,-0.000125
-0.249907856,0.006125
-0.249906856,-0.000125
-0.249905856,0.006125
-0.249904856,0.0014375
-0.249903856,0.0045625
-0.249902856,0.0014375
-0.249901856,-0.0048125
-0.249900856,0.006125
-0.249899856,0.006125
-0.249898856,0.003
-0.249897856,0.006125
-0.249896856,0.0045625
-0.249895856,0.00925
-0.249894856,0.00925
-0.249893856,-0.000125
-0.249892856,-0.000125
-0.249891856,0.0045625
-0.249890856,-0.0016875
