LECROYWS454,14016,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,30-Jan-2026 03:19:18,0                 
Time,Ampl
-0.2500005,4.98438
-0.2499995,4.98594
-0.2499985,4.97813
-0.2499975,4.975
-0.2499965,4.97969
-0.2499955,4.98281
-0.2499945,4.98438
-0.2499935,4.9875
-0.2499925,4.98906
-0.2499915,4.9875
-0.2499905,4.98438
-0.2499895,4.9875
-0.2499885,4.9875
-0.2499875,4.97969
-0.2499865,4.98438
-0.2499855,4.98594
-0.2499845,4.9875
-0.2499835,4.98906
-0.2499825,4.98906
-0.2499815,4.98594
-0.2499805,4.98438
-0.2499795,4.99219
-0.2499785,4.98594
-0.2499775,4.98438
-0.2499765,4.98281
-0.2499755,4.98594
-0.2499745,4.98125
-0.2499735,4.9875
-0.2499725,4.98438
-0.2499715,4.99062
-0.2499705,4.98438
-0.2499695,4.98594
-0.2499685,4.98594
-0.2499675,4.9875
-0.2499665,4.98438
-0.2499655,4.9875
-0.2499645,4.98281
-0.2499635,4.98125
-0.2499625,4.98438
-0.2499615,4.98281
-0.2499605,4.98281
-0.2499595,4.98438
-0.2499585,4.9875
-0.2499575,4.99062
-0.2499565,4.9875
-0.2499555,4.98438
-0.2499545,4.98281
-0.2499535,4.98594
-0.2499525,4.98125
-0.2499515,4.98125
-0.2499505,4.98906
-0.2499495,4.98594
-0.2499485,4.98438
-0.2499475,4.98438
-0.2499465,4.98906
-0.2499455,5.00781
-0.2499445,4.98906
-0.2499435,4.98906
-0.2499425,4.98906
-0.2499415,4.97969
-0.2499405,4.98125
-0.2499395,4.98594
-0.2499385,4.98281
-0.2499375,4.98281
-0.2499365,4.98438
-0.2499355,4.99062
-0.2499345,4.98438
-0.2499335,4.98125
-0.2499325,4.9875
-0.2499315,4.98906
-0.2499305,4.98438
-0.2499295,4.98906
-0.2499285,4.98438
-0.2499275,4.98438
-0.2499265,4.9875
-0.2499255,4.98281
-0.2499245,4.98438
-0.2499235,4.98594
-0.2499225,4.9875
-0.2499215,4.98281
-0.2499205,4.9875
-0.2499195,4.98281
-0.2499185,4.99531
-0.2499175,4.98438
-0.2499165,4.98281
-0.2499155,4.98125
-0.2499145,4.98594
-0.2499135,4.98594
-0.2499125,4.98281
-0.2499115,4.99219
-0.2499105,4.99062
-0.2499095,4.98906
-0.2499085,4.98438
-0.2499075,4.98594
-0.2499065,4.98125
-0.2499055,4.9875
-0.2499045,4.98281
-0.2499035,4.98594
-0.2499025,4.97969
-0.2499015,4.98594
-0.2499005,4.98594
-0.2498995,4.98594
-0.2498985,4.9875
-0.2498975,4.9875
-0.2498965,4.98281
-0.2498955,4.98594
-0.2498945,4.98594
-0.2498935,4.98594
-0.2498925,4.97344
-0.2498915,4.98594
-0.2498905,4.98281
-0.2498895,4.98281
-0.2498885,4.98281
-0.2498875,4.98594
-0.2498865,4.97969
-0.2498855,4.98438
-0.2498845,4.98438
-0.2498835,4.98281
-0.2498825,4.99062
-0.2498815,4.99062
-0.2498805,4.99062
-0.2498795,4.98125
-0.2498785,4.99375
-0.2498775,4.98281
-0.2498765,4.97969
-0.2498755,4.98438
-0.2498745,4.98125
-0.2498735,4.98438
-0.2498725,4.98125
-0.2498715,4.99062
-0.2498705,4.9875
-0.2498695,4.98438
-0.2498685,4.99062
-0.2498675,4.9875
-0.2498665,4.97813
-0.2498655,4.97187
-0.2498645,4.97969
-0.2498635,4.98438
-0.2498625,4.9875
-0.2498615,4.98906
-0.2498605,4.99062
-0.2498595,4.98438
-0.2498585,4.98281
-0.2498575,4.98438
-0.2498565,4.98438
-0.2498555,4.97813
-0.2498545,4.98438
-0.2498535,4.99219
-0.2498525,4.98281
-0.2498515,4.9875
-0.2498505,4.98906
-0.2498495,4.98594
-0.2498485,4.98125
-0.2498475,4.98438
-0.2498465,4.98438
-0.2498455,4.98438
-0.2498445,4.98594
-0.2498435,4.9875
-0.2498425,4.98438
-0.2498415,4.98594
-0.2498405,4.98281
-0.2498395,4.99219
-0.2498385,4.99375
-0.2498375,4.98438
-0.2498365,4.9875
-0.2498355,4.98906
-0.2498345,4.98281
-0.2498335,4.98438
-0.2498325,4.99062
-0.2498315,4.98594
-0.2498305,4.98594
-0.2498295,4.9875
-0.2498285,4.98125
-0.2498275,4.98594
-0.2498265,4.98438
-0.2498255,4.98438
