# CH1, CH2, Coincidence
590,0,0
604,0,0
552,0,0
592,0,0
589,0,0
576,0,0
603,0,0
609,0,0
588,0,0
649,0,0
624,0,0
611,0,0
604,0,0
641,0,0
657,0,0
606,0,0
619,0,0
602,0,0
608,0,0
624,0,0
651,0,0
625,0,0
630,0,0
580,0,0
608,0,0
612,0,0
606,0,0
612,0,0
629,0,0
629,0,0
579,0,0
616,0,0
631,0,0
583,0,0
637,0,0
668,0,0
644,0,0
652,0,0
562,0,0
610,0,0
645,0,0
612,0,0
598,0,0
611,0,0
582,0,0
619,0,0
572,0,0
576,0,0
591,0,0
632,0,0
667,0,0
624,0,0
633,0,0
673,0,0
607,0,0
642,0,0
613,0,0
639,0,0
595,0,0
604,0,0
603,0,0
613,0,0
678,0,0
611,0,0
618,0,0
637,0,0
610,0,0
631,0,0
607,0,0
610,0,0
640,0,0
649,0,0
598,0,0
613,0,0
622,0,0
596,0,0
589,0,0
597,0,0
631,0,0
639,0,0
592,0,0
587,0,0
661,0,0
640,0,0
639,0,0
639,0,0
627,0,0
544,0,0
615,0,0
595,0,0
616,0,0
538,0,0
610,0,0
680,0,0
642,0,0
628,0,0
588,0,0
631,0,0
621,0,0
616,0,0
