# CH1, CH2, Coincidence
322,423,0
307,383,0
294,420,0
313,419,0
307,408,0
328,385,0
296,403,0
349,429,0
303,423,0
337,409,0
330,406,0
293,431,0
301,418,0
284,457,0
311,420,0
325,391,0
293,416,0
296,417,0
299,401,0
322,403,0
337,403,0
323,399,0
305,404,0
295,412,0
293,415,0
292,376,0
348,413,0
297,439,0
343,433,0
358,383,0
331,425,0
306,423,0
327,403,0
261,448,0
278,375,0
305,435,0
300,386,0
300,405,0
336,416,0
295,399,0
278,396,0
307,419,0
307,362,0
288,397,0
279,440,0
338,436,0
307,407,0
310,389,0
304,391,0
267,395,0
291,407,0
326,407,0
321,436,0
316,362,0
311,417,0
315,408,0
312,441,0
284,395,0
330,365,0
296,427,0
319,410,0
289,425,0
306,439,0
331,414,0
333,431,0
342,434,0
301,420,0
300,400,0
306,409,0
339,431,0
307,410,0
315,436,0
284,424,0
293,448,0
365,426,0
353,416,0
298,428,0
269,375,0
324,413,0
310,413,0
312,441,0
316,372,0
329,398,0
309,407,0
296,432,0
302,403,0
319,418,0
298,383,0
313,423,0
283,455,0
290,419,0
298,394,0
335,385,0
323,419,0
309,410,0
307,410,0
339,421,0
315,439,0
287,404,0
307,411,0
329,418,0
327,434,0
336,439,0
309,387,0
315,423,0
316,409,0
290,410,0
287,406,0
287,393,0
325,413,0
345,398,0
286,411,0
340,425,0
284,424,0
324,435,0
326,390,0
297,435,0
278,416,0
300,423,0
315,404,0
346,402,0
318,441,0
289,417,0
316,378,0
297,393,0
283,398,0
290,436,0
325,399,0
352,421,0
321,421,0
329,388,0
301,385,0
339,417,0
301,415,0
313,443,0
308,404,0
300,393,0
319,409,0
336,408,0
285,410,0
333,393,0
278,440,0
313,405,0
296,405,0
293,407,0
275,391,0
306,368,0
365,402,0
302,407,0
301,413,0
318,397,0
290,423,0
285,406,0
325,422,0
297,418,0
305,394,0
319,390,0
313,379,0
340,419,0
287,423,0
314,409,0
291,412,0
326,381,0
288,408,0
327,412,0
303,422,0
337,409,0
298,422,0
321,395,0
297,412,0
313,444,0
302,419,0
289,441,0
330,405,0
326,399,0
295,387,0
297,443,0
302,419,0
303,402,0
338,420,0
316,414,0
278,425,0
316,390,0
296,381,0
300,425,0
284,414,0
330,415,0
303,395,0
302,422,0
308,369,0
300,383,0
305,420,0
250,425,0
298,412,0
334,371,0
291,383,0
312,437,0
309,441,0
270,424,0
315,403,0
296,411,0
297,392,0
296,415,0
303,414,0
271,363,0
286,411,0
310,399,0
306,402,0
301,426,0
285,377,0
291,425,0
333,442,0
317,407,0
323,424,0
292,411,0
311,432,0
263,421,0
276,396,0
297,419,0
300,409,0
316,404,0
308,433,0
342,446,0
313,416,0
308,404,0
302,411,0
301,385,0
349,412,0
315,425,0
310,427,0
334,397,0
315,423,0
294,425,0
298,413,0
316,402,0
307,420,0
296,401,0
293,404,0
334,402,0
274,397,0
275,466,0
298,408,0
316,416,0
278,399,0
302,379,0
335,405,0
313,423,0
320,448,0
310,413,0
306,393,0
282,424,0
295,416,0
302,439,0
313,418,0
275,420,0
330,391,0
278,397,0
304,408,0
342,387,0
295,446,0
345,430,0
282,398,0
322,385,0
303,459,0
295,370,0
314,414,0
298,409,0
296,424,0
338,381,0
317,398,0
289,398,0
273,418,0
303,421,0
311,409,0
312,399,0
314,452,0
312,406,0
281,393,0
305,422,0
308,434,0
305,401,0
318,429,0
303,401,0
332,417,0
322,449,0
311,409,0
301,403,0
289,380,0
295,436,0
316,409,0
288,387,0
291,444,0
295,397,0
326,378,0
337,434,0
297,437,0
305,413,0
311,430,0
288,404,0
287,436,0
284,407,0
309,400,0
267,413,0
307,400,0
299,391,0
323,390,0
286,407,0
324,414,0
334,425,0
290,423,0
290,431,0
306,414,0
310,449,0
329,395,0
320,389,0
302,418,0
311,419,0
