# CH1, CH2, Coincidence
735,0,0
719,0,0
676,0,0
830,0,0
809,0,0
721,0,0
809,0,0
795,0,0
785,0,0
768,0,0
753,0,0
766,0,0
711,0,0
762,0,0
712,0,0
801,0,0
724,0,0
760,0,0
756,0,0
745,0,0
707,0,0
740,0,0
716,0,0
705,0,0
707,0,0
701,0,0
811,0,0
775,0,0
720,0,0
717,0,0
765,0,0
701,0,0
683,0,0
768,0,0
722,0,0
787,0,0
721,0,0
719,0,0
695,0,0
795,0,0
696,0,0
780,0,0
726,0,0
703,0,0
739,0,0
700,0,0
698,0,0
700,0,0
726,0,0
746,0,0
738,0,0
798,0,0
763,0,0
705,0,0
777,0,0
747,0,0
782,0,0
709,0,0
709,0,0
698,0,0
715,0,0
761,0,0
711,0,0
755,0,0
717,0,0
654,0,0
733,0,0
719,0,0
721,0,0
753,0,0
751,0,0
731,0,0
708,0,0
748,0,0
693,0,0
682,0,0
710,0,0
725,0,0
703,0,0
746,0,0
729,0,0
733,0,0
700,0,0
743,0,0
728,0,0
714,0,0
700,0,0
737,0,0
735,0,0
700,0,0
677,0,0
728,0,0
686,0,0
723,0,0
755,0,0
695,0,0
710,0,0
701,0,0
704,0,0
711,0,0
714,0,0
743,0,0
736,0,0
730,0,0
708,0,0
715,0,0
650,0,0
769,0,0
765,0,0
699,0,0
747,0,0
836,0,0
739,0,0
760,0,0
677,0,0
678,0,0
787,0,0
682,0,0
735,0,0
715,0,0
748,0,0
763,0,0
743,0,0
773,0,0
696,0,0
713,0,0
667,0,0
706,0,0
739,0,0
678,0,0
671,0,0
780,0,0
702,0,0
703,0,0
750,0,0
727,0,0
738,0,0
716,0,0
697,0,0
706,0,0
737,0,0
678,0,0
704,0,0
737,0,0
631,0,0
722,0,0
687,0,0
686,0,0
685,0,0
693,0,0
712,0,0
704,0,0
679,0,0
715,0,0
742,0,0
666,0,0
676,0,0
750,0,0
687,0,0
744,0,0
732,0,0
705,0,0
714,0,0
719,0,0
736,0,0
666,0,0
731,0,0
745,0,0
713,0,0
716,0,0
682,0,0
702,0,0
754,0,0
725,0,0
698,0,0
714,0,0
727,0,0
732,0,0
727,0,0
740,0,0
753,0,0
727,0,0
712,0,0
694,0,0
667,0,0
666,0,0
700,0,0
699,0,0
715,0,0
695,0,0
725,0,0
716,0,0
760,0,0
786,0,0
716,0,0
696,0,0
700,0,0
732,0,0
657,0,0
711,0,0
685,0,0
775,0,0
