LECROYWS454,14016,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,30-Jan-2026 03:28:21,0                 
Time,Ampl
-0.250000966,4.98438
-0.249999966,4.98438
-0.249998966,4.99062
-0.249997966,4.98438
-0.249996966,4.98438
-0.249995966,4.98438
-0.249994966,4.98438
-0.249993966,4.98438
-0.249992966,4.98906
-0.249991966,4.98438
-0.249990966,4.98906
-0.249989966,4.98594
-0.249988966,4.98906
-0.249987966,4.98906
-0.249986966,4.98594
-0.249985966,4.98281
-0.249984966,4.98438
-0.249983966,4.98594
-0.249982966,4.98125
-0.249981966,4.98281
-0.249980966,4.9875
-0.249979966,4.98438
-0.249978966,4.9875
-0.249977966,4.98906
-0.249976966,4.98594
-0.249975966,4.98594
-0.249974966,4.9875
-0.249973966,4.98594
-0.249972966,4.98438
-0.249971966,4.98281
-0.249970966,4.98594
-0.249969966,4.9875
-0.249968966,4.98594
-0.249967966,4.98281
-0.249966966,4.98125
-0.249965966,4.98594
-0.249964966,4.98906
-0.249963966,4.98281
-0.249962966,4.98906
-0.249961966,4.99375
-0.249960966,4.98906
-0.249959966,4.98594
-0.249958966,4.98906
-0.249957966,4.98594
-0.249956966,4.98125
-0.249955966,4.99062
-0.249954966,4.98906
-0.249953966,4.98281
-0.249952966,4.98438
-0.249951966,4.9875
-0.249950966,4.98281
-0.249949966,4.98594
-0.249948966,4.9875
-0.249947966,4.98594
-0.249946966,4.9875
-0.249945966,4.98594
-0.249944966,4.9875
-0.249943966,4.9875
-0.249942966,4.9875
-0.249941966,4.9875
-0.249940966,4.98281
-0.249939966,4.98594
-0.249938966,4.98438
-0.249937966,4.99219
-0.249936966,4.98594
-0.249935966,4.98906
-0.249934966,4.98281
-0.249933966,4.98438
-0.249932966,4.9875
-0.249931966,4.98281
-0.249930966,4.98438
-0.249929966,4.98594
-0.249928966,4.98281
-0.249927966,4.98281
-0.249926966,4.9875
-0.249925966,4.9875
-0.249924966,4.98438
-0.249923966,4.98906
-0.249922966,4.9875
-0.249921966,4.98281
-0.249920966,4.98281
-0.249919966,4.98281
-0.249918966,4.98438
-0.249917966,4.99219
-0.249916966,4.98438
-0.249915966,4.98281
-0.249914966,4.98594
-0.249913966,4.98438
-0.249912966,4.98594
-0.249911966,4.98438
-0.249910966,4.99062
-0.249909966,4.98594
-0.249908966,4.98281
-0.249907966,4.98906
-0.249906966,4.98438
-0.249905966,4.98594
-0.249904966,4.98906
-0.249903966,4.9875
-0.249902966,4.97969
-0.249901966,4.98594
-0.249900966,4.98594
-0.249899966,4.98281
-0.249898966,4.97969
-0.249897966,4.98281
-0.249896966,4.98906
-0.249895966,4.98281
-0.249894966,4.98438
-0.249893966,4.99062
-0.249892966,4.98906
-0.249891966,4.98594
-0.249890966,4.9875
-0.249889966,4.98594
-0.249888966,4.98594
-0.249887966,4.98438
-0.249886966,4.9875
-0.249885966,4.97969
-0.249884966,4.975
-0.249883966,4.98125
-0.249882966,4.98594
-0.249881966,4.9875
-0.249880966,4.98594
-0.249879966,4.98438
-0.249878966,4.9875
-0.249877966,4.9875
-0.249876966,4.98438
-0.249875966,4.98281
-0.249874966,4.98438
-0.249873966,4.98281
-0.249872966,4.98594
-0.249871966,4.98906
-0.249870966,4.98125
-0.249869966,4.9875
-0.249868966,4.98906
-0.249867966,4.98594
-0.249866966,4.98594
-0.249865966,4.9875
-0.249864966,4.9875
-0.249863966,4.98281
-0.249862966,4.98281
-0.249861966,4.99375
-0.249860966,4.98594
-0.249859966,4.98281
-0.249858966,4.98906
-0.249857966,4.98281
-0.249856966,4.97813
-0.249855966,4.98906
-0.249854966,4.99062
-0.249853966,4.98594
-0.249852966,4.98594
-0.249851966,4.98594
-0.249850966,4.98438
-0.249849966,4.98281
-0.249848966,4.98594
-0.249847966,4.98125
-0.249846966,4.98594
-0.249845966,4.98594
-0.249844966,4.98438
-0.249843966,4.98438
-0.249842966,4.9875
-0.249841966,4.97969
-0.249840966,4.98438
-0.249839966,4.9875
-0.249838966,4.9875
-0.249837966,4.98438
-0.249836966,4.98438
